Transaction_ID;Employee_ID;Category;Amount;Date;Merchant;Has_Receipt;Payment_Method;Business_Purpose;Location
T00096;E123;Lunch;41,04;4.06.2025;Local Bistro;Yes;Corporate Card;HR workshop;Prague, Czech Republic
T00267;E169;Hotel;134,15;5.09.2025;Novotel;Yes;Corporate Card;Campaign event;Dublin, Ireland
T00240;E159;Train;102,55;26.03.2025;Deutsche Bahn;Yes;Corporate Card;Business trip;Wroclaw, Poland
T00017;E108;Dinner;84,88;3.06.2025;Whisky in the Jar;Yes;Corporate Card;Customer workshop;Wroclaw, Poland
T00233;E158;Dinner;59,71;7.03.2025;Restauracja Polska;Yes;Personal Card;Business trip;Frankfurt, Germany
T00093;E123;Train;162,32;16.01.2025;Leo Express;Yes;Corporate Card;Conference attendance;Hamburg, Germany
T00295;E170;Dinner;41,43;6.07.2025;Restauracja Polska;Yes;Corporate Card;Supplier meeting;Gdansk, Poland
T00292;E170;Airfare;932,36;18.08.2025;Austrian Airlines;Yes;Corporate Card;Business trip;Paris, France
T00102;E126;Taxi/Rideshare;68,26;20.05.2025;mytaxi;Yes;Corporate Card;Travel between offices;Frankfurt, Germany
T00105;E126;Lunch;14,12;4.11.2025;Pret A Manger;Yes;Corporate Card;Supplier meeting;Vienna, Austria
T00111;E130;Dinner;52,57;17.12.2025;Hotel Restaurant;Yes;Corporate Card;Supplier meeting;Warsaw, Poland
T00046;E114;Dinner;68,59;3.09.2025;Hard Rock Cafe;Yes;Corporate Card;Team dinner;Berlin, Germany
T00288;E170;Dinner;90,52;9.07.2025;Stary Dom;Yes;Personal Card;Supplier meeting;Prague, Czech Republic
T00136;E141;Hotel;273,59;21.07.2025;NH Hotels;Yes;Corporate Card;Training;Amsterdam, Netherlands
T00035;E111;Hotel;383,93;30.01.2025;Leonardo Hotels;Yes;Corporate Card;Training;Warsaw, Poland
T00013;E107;Airfare;394,13;3.02.2025;LOT Polish Airlines;Yes;Personal Card;Conference attendance;Prague, Czech Republic
T00083;E122;Dinner;32,69;21.07.2025;Concept 13;No;Corporate Card;Supplier meeting;Gdansk, Poland
T00162;E144;Lunch;35,47;15.04.2025;Jeff's;Yes;Corporate Card;Internal meeting;Hamburg, Germany
T00199;E157;Hotel;238,48;6.11.2025;Sheraton;Yes;Corporate Card;Campaign event;London, UK
T00002;E103;Train;126,39;19.02.2025;Italo;Yes;Corporate Card;Business trip;Warsaw, Poland
T00196;E157;Hotel;279,62;24.04.2025;Novotel;Yes;Personal Card;Training;Berlin, Germany
T00029;E111;Taxi/Rideshare;52,31;25.06.2025;Bolt;Yes;Corporate Card;Customer visit;London, UK
T00037;E112;Dinner;51,68;12.03.2025;Stary Dom;Yes;Personal Card;Team dinner;Munich, Germany
T00130;E139;Hotel;373,27;11.03.2025;Marriott;Yes;Corporate Card;Agency workshop;Warsaw, Poland
T00252;E167;Lunch;60,2;28.10.2025;Pret A Manger;Yes;Corporate Card;Client meeting;Warsaw, Poland
T00121;E135;Hotel;217,63;2.12.2025;Courtyard by Marriott;Yes;Personal Card;HR conference;Krakow, Poland
T00222;E157;Dinner;98,07;27.06.2025;Der Elefant;Yes;Corporate Card;Customer workshop;Krakow, Poland
T00019;E108;Lunch;42,54;4.07.2025;Vapiano;Yes;Corporate Card;Project workshop;Warsaw, Poland
T00057;E115;Taxi/Rideshare;52,74;24.07.2025;Taxi Berlin;Yes;Personal Card;Customer visit;Hamburg, Germany
T00051;E114;Lunch;23,62;5.02.2025;Sphinx;Yes;Corporate Card;Customer workshop;Edinburgh, UK
T00278;E170;Breakfast;15,38;24.11.2025;Paul;No;Corporate Card;Internal meeting;Krakow, Poland
T00289;E170;Dinner;63,43;3.10.2025;Nobu Warsaw;Yes;Corporate Card;Supplier meeting;Paris, France
T00241;E159;Airfare;471,33;29.10.2025;Ryanair;Yes;Corporate Card;Business trip;Warsaw, Poland
T00270;E169;Airfare;874,08;12.12.2025;SAS;Yes;Personal Card;Client visit;Amsterdam, Netherlands
T00238;E159;Dinner;28,62;28.02.2025;Local Restaurant;Yes;Corporate Card;Business trip;Gdansk, Poland
T00237;E159;Lunch;23,51;28.10.2025;Restauracja Polska;No;Corporate Card;HR workshop;Wroclaw, Poland
T00090;E123;Taxi/Rideshare;89,27;14.05.2025;Taxi Berlin;No;Corporate Card;Customer visit;Prague, Czech Republic
T00032;E111;Taxi/Rideshare;50,08;25.07.2025;Taxi Berlin;Yes;Personal Card;Client meeting;Prague, Czech Republic
T00280;E170;Airfare;911,13;20.01.2025;Wizz Air;Yes;Corporate Card;Training;Vienna, Austria
T00200;E157;Dinner;54,47;22.09.2025;Concept 13;Yes;Corporate Card;Customer workshop;Gdansk, Poland
T00128;E138;Dinner;69,21;14.07.2025;Der Elefant;Yes;Personal Card;Client dinner;Gdansk, Poland
T00265;E169;Lunch;23,11;3.03.2025;Bistro Warszawa;Yes;Corporate Card;Customer workshop;Paris, France
T00066;E117;Lunch;14,56;29.07.2025;Aioli;No;Corporate Card;Conference attendance;Krakow, Poland
T00154;E143;Lunch;29,82;14.10.2025;Restauracja Polska;Yes;Personal Card;Business trip;Dublin, Ireland
T00211;E157;Taxi/Rideshare;48,51;9.04.2025;City Taxi;Yes;Corporate Card;Conference attendance;Vienna, Austria
T00080;E121;Taxi/Rideshare;27,72;7.02.2025;mytaxi;Yes;Corporate Card;Customer visit;Wroclaw, Poland
T00177;E153;Lunch;21,53;31.03.2025;North Fish;Yes;Corporate Card;Internal meeting;Krakow, Poland
T00176;E153;Taxi/Rideshare;32,77;18.09.2025;mytaxi;Yes;Corporate Card;Conference attendance;Prague, Czech Republic
T00139;E141;Hotel;271,72;9.05.2025;Radisson Blu;Yes;Personal Card;Project workshop;Hamburg, Germany
T00271;E169;Breakfast;17,3;12.11.2025;Cafe Nero;Yes;Corporate Card;Client meeting;Manchester, UK
T00125;E137;Lunch;16,33;9.09.2025;Greenway;Yes;Corporate Card;Prospect meeting;Prague, Czech Republic
T00244;E160;Train;125,61;10.10.2025;PKP Intercity;Yes;Corporate Card;Customer visit;Berlin, Germany
T00045;E114;Dinner;57,56;7.08.2025;Der Elefant;Yes;Corporate Card;Team dinner;Amsterdam, Netherlands
T00279;E170;Lunch;36,7;18.02.2025;Local Bistro;Yes;Corporate Card;Internal meeting;Warsaw, Poland
T00071;E121;Hotel;249,6;22.05.2025;Motel One;No;Personal Card;Agency workshop;Gdansk, Poland
T00283;E170;Dinner;45,77;28.05.2025;Nobu Warsaw;Yes;Personal Card;Audit meeting;Warsaw, Poland
T00085;E122;Airfare;1339,25;12.02.2025;Austrian Airlines;Yes;Corporate Card;Project workshop;Berlin, Germany
T00040;E113;Breakfast;12,87;28.04.2025;Galeria Wypiekow;Yes;Corporate Card;Travel to customer site;London, UK
T00221;E157;Train;137,97;17.09.2025;Leo Express;Yes;Personal Card;Conference attendance;Paris, France
T00070;E121;Airfare;459,45;17.11.2025;Brussels Airlines;Yes;Corporate Card;Customer visit;Warsaw, Poland
T00009;E106;Dinner;38,55;11.08.2025;Stary Dom;Yes;Personal Card;Conference attendance;Krakow, Poland
T00006;E105;Airfare;596,37;18.03.2025;easyJet;Yes;Corporate Card;HR conference;London, UK
T00231;E158;Hotel;356,06;12.03.2025;Holiday Inn;Yes;Corporate Card;Finance workshop;Prague, Czech Republic
T00087;E123;Hotel;258,46;23.09.2025;Mercure;Yes;Corporate Card;HR conference;Frankfurt, Germany
T00142;E141;Breakfast;17,54;20.01.2025;Green Caffe Nero;Yes;Corporate Card;Travel to customer site;Warsaw, Poland
T00008;E105;Airfare;328,29;4.03.2025;Lufthansa;No;Corporate Card;Customer visit;Prague, Czech Republic
T00266;E169;Airfare;524,57;13.10.2025;KLM;Yes;Corporate Card;Agency workshop;London, UK
T00004;E103;Train;49,25;12.03.2025;ÖBB;Yes;Personal Card;Internal meeting;Warsaw, Poland
T00134;E140;Lunch;22,85;18.06.2025;Aioli;Yes;Personal Card;Audit meeting;Paris, France
T00030;E111;Dinner;89,97;21.10.2025;Soul Kitchen;No;Corporate Card;Team dinner;Berlin, Germany
T00023;E109;Hotel;112,64;24.04.2025;Sheraton;Yes;Corporate Card;Agency workshop;Prague, Czech Republic
T00254;E167;Hotel;318,68;4.04.2025;NH Hotels;Yes;Personal Card;Conference attendance;Krakow, Poland
T00184;E157;Lunch;26,03;6.08.2025;Zabka;Yes;Corporate Card;Partner meeting;Krakow, Poland
T00103;E126;Dinner;61,61;29.05.2025;Bistro Central;Yes;Corporate Card;Project workshop;Amsterdam, Netherlands
T00094;E123;Dinner;85,48;15.04.2025;Whisky in the Jar;Yes;Corporate Card;Business trip;Frankfurt, Germany
T00257;E168;Airfare;1063,06;14.05.2025;SAS;Yes;Corporate Card;Business trip;Warsaw, Poland
T00203;E157;Lunch;54,45;4.08.2025;Restauracja Polska;No;Corporate Card;Partner meeting;London, UK
T00053;E114;Airfare;322,31;13.01.2025;Air France;Yes;Corporate Card;Training;Edinburgh, UK
T00003;E103;Breakfast;11,94;1.09.2025;Galeria Wypiekow;No;Personal Card;Conference attendance;London, UK
T00033;E111;Airfare;735,18;20.10.2025;British Airways;Yes;Corporate Card;Training;Vienna, Austria
T00291;E170;Dinner;60,89;16.05.2025;Concept 13;Yes;Corporate Card;Business trip;Wroclaw, Poland
T00216;E157;Hotel;225,19;14.03.2025;Motel One;Yes;Corporate Card;Agency workshop;Vienna, Austria
T00056;E114;Airfare;580,77;22.01.2025;KLM;Yes;Corporate Card;Customer visit;Berlin, Germany
T00076;E121;Train;120,81;18.12.2025;SNCF;No;Corporate Card;Business trip;Wroclaw, Poland
T00007;E105;Airfare;936,27;6.10.2025;Brussels Airlines;Yes;Corporate Card;Business trip;Berlin, Germany
T00210;E157;Taxi/Rideshare;60,8;10.12.2025;Taxi Berlin;Yes;Corporate Card;Late return from client meeting;Berlin, Germany
T00068;E117;Hotel;189,71;29.05.2025;Radisson Blu;No;Personal Card;HR conference;Vienna, Austria
T00123;E135;Airfare;1155,77;23.07.2025;Wizz Air;No;Corporate Card;Supplier meeting;Gdansk, Poland
T00064;E116;Lunch;43,45;6.11.2025;Local Bistro;Yes;Corporate Card;Internal meeting;Gdansk, Poland
T00024;E111;Lunch;21,25;13.06.2025;Aioli;Yes;Corporate Card;Business trip;London, UK
T00151;E143;Airfare;858,47;8.10.2025;Ryanair;Yes;Personal Card;Customer visit;Edinburgh, UK
T00212;E157;Hotel;141,91;18.02.2025;Sheraton;Yes;Personal Card;Business trip;Vienna, Austria
T00069;E119;Lunch;58,14;12.08.2025;Restauracja Polska;Yes;Corporate Card;Internal meeting;Vienna, Austria
T00274;E169;Dinner;26,19;29.07.2025;Local Restaurant;Yes;Corporate Card;Client dinner;Amsterdam, Netherlands
T00191;E157;Airfare;722,61;6.08.2025;LOT Polish Airlines;Yes;Personal Card;Business trip;Prague, Czech Republic
T00217;E157;Taxi/Rideshare;85,72;20.06.2025;City Taxi;Yes;Corporate Card;Airport transfer;Wroclaw, Poland
T00099;E124;Taxi/Rideshare;45,57;19.11.2025;Taxi Warsaw;Yes;Personal Card;Customer visit;Wroclaw, Poland
T00195;E157;Airfare;620,41;12.05.2025;Wizz Air;Yes;Corporate Card;Sales visit;Berlin, Germany
T00120;E135;Lunch;59,77;4.09.2025;North Fish;No;Corporate Card;Internal meeting;Berlin, Germany
T00114;E133;Airfare;679,39;27.01.2025;LOT Polish Airlines;Yes;Corporate Card;Customer visit;Berlin, Germany
T00182;E157;Taxi/Rideshare;44,83;6.02.2025;mytaxi;Yes;Personal Card;Travel between offices;Wroclaw, Poland
T00041;E113;Hotel;352,57;24.03.2025;Radisson Blu;Yes;Corporate Card;Conference attendance;Prague, Czech Republic
T00287;E170;Lunch;53,73;19.05.2025;Pret A Manger;Yes;Corporate Card;Internal meeting;Berlin, Germany
T00290;E170;Lunch;60,17;11.12.2025;Aioli;Yes;Corporate Card;Audit meeting;Krakow, Poland
